#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
8 6.3 0.48 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
12 4.4 0.52 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
16 3.7 0.48 1 0.0 0 0 1 0.0 0 0 0 0.0 0 0.0 1 0.0 33 0.0
32 2.3 0.48 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 33 0.0
48 2 0.0 4 0.0 0 0 4 0.0 0 0 0 0.0 0 0.0 4 0.0 33 0.0
64 2 0.0 5.7 0.48 0 0 5.7 0.48 0 0 0 0.0 0 0.0 5.7 0.48 43.2 16.42
96 1.6 0.52 8 0.0 0 0 8 0.0 0 0 0 0.0 0 0.0 8 0.0 44.2 18.24
128 1.1 0.32 11.8 0.42 0 0 11.8 0.42 0.4 0 16.1 13.97 16.5 13.47 28.3 13.53 63.2 28.71
256 1 0.0 23 0.0 2.2 0 25.2 0.42 0.9 0 51.3 33.35 52.2 34.16 77.4 34.14 74.6 39.95
384 1 0.0 34.2 0.42 4.6 0 38.8 1.03 0.8 0 42.1 18.83 42.9 19.36 81.7 19.16 69.6 27.21
512 1 0.0 46.8 0.42 9.1 0 55.9 1.2 1.1 0 55.8 22.42 56.9 23.13 112.8 22.5 79.4 30.06
