#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,8) - 32bit klic:
#SR(1,2,2,8)
4 184.2 16.36 8 0.0 0 0 8 0.0 2.2 0 28.7 88.33 30.9 87.62 38.9 87.62 127.2 148.32
8 151.6 19.98 9 0.0 0 0 9 0.0 90 0 23.9 51.26 113.9 284.01 122.9 284.01 1091.7 2415.14
12 125.89 21.18 10 0.0 0 0 10 0.0 1.44 0 199.22 412.07 200.67 411.32 210.67 411.32 81.67 109.0
16 120.9 25.53 10.9 0.32 0 0 10.9 0.32 21.1 0 150.3 199.04 171.4 225.64 182.3 225.71 160.7 220.42
32 87.9 11.18 21.1 0.32 1.1 0 22.2 0.42 0 0 144 142.76 144 142.76 166.2 142.96 33 0.0
48 81.56 10.58 24.33 0.5 3 0 27.33 0.5 0 0 1806.44 4430.04 1806.44 4430.04 1833.78 4429.89 33 0.0
64 75 11.22 35.8 0.42 5.4 0 41.2 0.63 0 0 165.4 227.62 165.4 227.62 206.6 227.7 33 0.0
96 63.9 8.32 51.8 0.42 11.5 0 63.3 0.67 0 0 474.2 626.56 474.2 626.56 537.5 626.2 33 0.0
128 60.6 5.38 72.2 0.63 21 0 93.2 4.13 0 0 224.9 247.61 224.9 247.61 318.1 246.82 33 0.0
256 52.5 1.27 141.9 0.88 78.8 0 220.7 7.79 0 0 24.1 48.51 24.1 48.51 244.8 51.4 33 0.0
