#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(1,4,2,4)
2 35.75 0.55 1.2 0.41 0 0 1.2 0.41 0 0 0 0.0 0 0.0 1.2 0.41 34.7 7.6
4 35.8 0.52 2 0.0 0 0 2 0.0 0.05 0 0 0.0 0.05 0.22 2.05 0.22 34.7 7.6
8 35.85 0.49 2 0.0 0 0 2 0.0 0 0 0 0.0 0 0.0 2 0.0 33 0.0
12 35.8 0.52 3 0.0 0 0 3 0.0 0 0 0 0.0 0 0.0 3 0.0 34.7 7.6
16 35.65 0.59 3 0.0 0 0 3 0.0 0.05 0 0 0.0 0.05 0.22 3.05 0.22 34.7 7.6
32 35.7 0.66 7 0.0 0 0 7 0.0 0 0 0 0.0 0 0.0 7 0.0 33 0.0
48 35.4 0.5 9 0.0 0 0 9 0.0 0.1 0 0 0.0 0.1 0.31 9.1 0.31 39.75 17.61
64 35.9 0.55 12.15 0.37 0 0 12.15 0.37 0.05 0 0 0.0 0.05 0.22 12.2 0.41 34.7 7.6
96 35.85 0.49 18.05 0.22 0.05 0 18.1 0.31 0 0 0 0.0 0 0.0 18.1 0.31 34.7 7.6
128 35.55 0.51 25.85 0.37 0 0 25.85 0.37 0 0 0 0.0 0 0.0 25.85 0.37 33 0.0
256 35.75 0.55 51.2 0.41 0 0 51.2 0.41 0 0 0.2 0.41 0.2 0.41 51.4 0.5 33 0.0
384 35.75 0.79 76.45 0.51 0 0 76.45 0.51 0 0 1 0.0 1 0.0 77.45 0.51 34.7 7.6
512 35.55 0.6 103.35 0.49 0 0 103.35 0.49 0 0 1 0.0 1 0.0 104.35 0.49 33 0.0
