#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,4,4) - 32bit klic:
#SR(1,2,4,4)
2 13.35 1.63 1 0.0 0 0 1 0.0 0 0 0.8 1.47 0.8 1.47 1.8 1.47 33 0.0
4 7.6 1.19 2 0.0 0 0 2 0.0 0 0 3.15 4.4 3.15 4.4 5.15 4.4 33 0.0
8 4.25 0.79 2 0.0 1.25 0 3.25 0.44 0 0 25.2 33.96 25.2 33.96 28.45 33.93 33 0.0
12 3.25 0.55 2.25 0.44 2.65 0 4.9 0.85 0 0 22.15 28.62 22.15 28.62 27.05 28.58 33 0.0
16 2.7 0.47 3 0.0 5.65 0 8.65 1.6 0 0 52.95 63.37 52.95 63.37 61.6 63.57 33 0.0
32 2 0.0 6 0.0 25.4 0 31.4 5.71 0 0 293.75 312.0 293.75 312.0 325.15 311.03 33 0.0
48 1.95 0.22 8 0.0 57.65 0 65.65 11.75 0 0 315.4 445.35 315.4 445.35 381.05 445.85 33 0.0
64 2 0.0 13.8 1.06 93.1 0 106.9 21.09 0 0 556.9 518.75 556.9 518.75 663.8 513.66 33 0.0
96 2 0.0 28.95 13.27 229.8 0 258.75 54.22 0.55 0 585.55 631.78 586.1 631.39 844.85 628.12 33 0.0
128 1.95 0.22 27.1 9.23 381.95 0 409.05 98.02 0.2 0 725.35 570.06 725.55 570.12 1134.6 587.36 33 0.0
256 2 0.0 55.25 3.73 1576.8 0 1632.05 266.56 0 0 544.8 613.77 544.8 613.77 2176.85 667.49 33 0.0
