#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,4,2,4) - 32bit klic:
#SR(2,4,2,4)
2 33142.8 207.3 5 0.0 0 0 5 0.0 0 0 0 0 0 0 5 0.0 0 0
4 33135.1 95.29 7 0.0 0 0 7 0.0 0 0 0 0 0 0 7 0.0 0 0
8 33136.65 88.9 10.75 0.44 0 0 10.75 0.44 0 0 0 0 0 0 10.75 0.44 0 0
12 33158.95 59.81 14.85 0.37 0 0 14.85 0.37 0 0 0 0 0 0 14.85 0.37 0 0
16 33128 72.25 19 0.79 0 0 19 0.79 0 0 0 0 0 0 19 0.79 0 0
32 33156.35 32.66 34.4 0.5 0 0 34.4 0.5 0 0 0 0 0 0 34.4 0.5 0 0
48 33138.85 36.71 48.05 0.69 0 0 48.05 0.69 0 0 0 0 0 0 48.05 0.69 0 0
64 33159.45 22.0 64.15 1.23 0 0 64.15 1.23 0 0 0 0 0 0 64.15 1.23 0 0
96 33157.35 26.13 94.2 1.2 0 0 94.2 1.2 0 0 0 0 0 0 94.2 1.2 0 0
128 33144.15 20.84 128.9 2.79 0 0 128.9 2.79 0 0 0 0 0 0 128.9 2.79 0 0
256 33152.1 14.12 286.45 13.23 0 0 286.45 13.23 0 0 0 0 0 0 286.45 13.23 0 0
